Energy (eV),DOS_up
-44.97675075,0.0
-44.92725075,0.0
-44.87775075,0.0
-44.82825075,0.0
-44.778850750000004,0.0
-44.72935075,0.0
-44.67985075,0.0
-44.63045075,0.0
-44.58095075,0.0
-44.53145075,0.0
-44.48195075,0.0
-44.43255075,0.0
-44.38305075,0.0
-44.33355075,0.0
-44.28415075,0.0
-44.23465075,0.0
-44.18515075,0.0
-44.13565075,0.0
-44.08625075,0.0
-44.03675075,0.0
-43.98725075,0.0
-43.93775075,0.0
-43.88835075,0.0
-43.83885075,0.0
-43.78935075,0.0
-43.73995075,0.0
-43.690450750000004,0.0
-43.64095075,0.0
-43.59145075,0.0
-43.54205075,0.0
-43.49255075,0.0
-43.44305075,0.0
-43.39365075,0.0
-43.34415075,0.0
-43.29465075,0.0
-43.24515075,0.0
-43.19575075,0.0
-43.14625075,0.0
-43.09675075,0.0
-43.04735075,0.0
-42.99785075,0.0
-42.94835075,0.0
-42.89885075,0.0
-42.84945075,0.0
-42.79995075,0.0
-42.75045075,0.0
-42.70105075,0.0
-42.65155075,0.0
-42.602050750000004,0.0
-42.55255075,0.0
-42.50315075,0.0
-42.45365075,0.0
-42.40415075,0.0
-42.35465075,0.0
-42.30525075,0.0
-42.25575075,0.0
-42.20625075,0.0
-42.156850750000004,0.0
-42.10735075,0.0
-42.05785075,0.0
-42.00835075,0.0
-41.95895075,0.0
-41.90945075,0.0
-41.85995075,0.0
-41.81055075,0.0
-41.76105075,0.0
-41.71155075,0.0
-41.66205075,0.0
-41.61265075,0.0
-41.56315075,0.0
-41.513650750000004,0.0
-41.46425075,0.0
-41.41475075,0.0
-41.36525075,0.0
-41.31575075,0.0
-41.26635075,0.0
-41.21685075,0.0
-41.16735075,0.0
-41.11785075,0.0
-41.068450750000004,0.0
-41.01895075,0.0
-40.96945075,0.0
-40.92005075,0.0
-40.87055075,0.0
-40.82105075,0.0
-40.77155075,0.0
-40.72215075,0.0
-40.67265075,0.0
-40.62315075,0.0
-40.57375075,0.0
-40.52425075,0.0
-40.47475075,0.0
-40.425250750000004,0.0
-40.37585075,0.0
-40.32635075,0.0
-40.27685075,0.0
-40.22745075,0.0
-40.17795075,0.0
-40.12845075,0.0
-40.07895075,0.0
-40.02955075,0.0
-39.980050750000004,0.0
-39.93055075,0.0
-39.88115075,0.0
-39.83165075,0.0
-39.78215075,0.0
-39.73265075,0.0
-39.68325075,0.0
-39.63375075,0.0
-39.58425075,0.0
-39.53475075,0.0
-39.48535075,0.0
-39.43585075,0.0
-39.38635075,0.0
-39.33695075,0.0
-39.28745075,0.0
-39.23795075,0.0
-39.18845075,0.0
-39.13905075,0.0
-39.08955075,0.0
-39.04005075,0.0
-38.99065075,0.0
-38.94115075,0.0
-38.891650750000004,0.0
-38.84215075,0.0
-38.79275075,0.0
-38.74325075,0.0
-38.69375075,0.0
-38.64435075,0.0
-38.59485075,0.0
-38.54535075,0.0
-38.49585075,0.0
-38.446450750000004,0.0
-38.39695075,0.0
-38.34745075,0.0
-38.29795075,0.0
-38.24855075,0.0
-38.19905075,0.0
-38.14955075,0.0
-38.10015075,0.0
-38.05065075,0.0
-38.00115075,0.0
-37.95165075,0.0
-37.90225075,0.0
-37.85275075,0.0
-37.803250750000004,0.0
-37.75385075,0.0
-37.70435075,0.0
-37.65485075,0.0
-37.60535075,0.0
-37.55595075,0.0
-37.50645075,0.0
-37.45695075,0.0
-37.40755075,0.0
-37.358050750000004,0.0
-37.30855075,0.0
-37.25905075,0.0
-37.20965075,0.0
-37.16015075,0.0
-37.11065075,0.0
-37.06125075,0.0
-37.01175075,0.0
-36.962250749999995,0.0
-36.91275075,0.0
-36.86335075,0.0
-36.81385075,0.0
-36.764350750000006,0.0
-36.71485075,0.0
-36.665450750000005,0.0
-36.615950749999996,0.0
-36.56645075,0.0
-36.517050749999996,0.0
-36.46755075,0.0
-36.41805075,0.0
-36.36855075,0.0
-36.319150750000006,0.0
-36.26965075,0.0
-36.22015075,0.0
-36.170750749999996,0.0
-36.12125075,0.0
-36.07175075,0.0
-36.02225075,0.0
-35.97285075,0.0
-35.92335075,0.0
-35.87385075,0.0
-35.82445075,0.0
-35.77495075,0.0
-35.72545075,0.0
-35.67595075,0.0
-35.62655075,0.0
-35.57705075,0.0
-35.52755075,0.0
-35.47805075,0.0
-35.42865075,0.0
-35.37915075,0.0
-35.32965075,0.0
-35.28025075,0.0
-35.23075075,0.0
-35.181250750000004,0.0
-35.13175075,0.0
-35.08235075,0.0
-35.03285075,0.0
-34.98335075,0.0
-34.93395075,0.0
-34.88445075,0.0
-34.834950750000004,0.0
-34.785450749999995,0.0
-34.736050750000004,0.0
-34.68655075,0.0
-34.63705075,0.0
-34.58765075,0.0
-34.53815075,0.0
-34.488650750000005,0.0
-34.439150749999996,0.0
-34.389750750000005,0.0
-34.340250749999996,0.0
-34.29075075,0.0
-34.241350749999995,0.0
-34.19185075,0.0
-34.142350750000006,0.0
-34.09285075,0.0
-34.043450750000005,0.0
-33.993950749999996,0.0
-33.94445075,0.0
-33.89495075,0.0
-33.84555075,0.0
-33.79605075,0.0
-33.74655075,0.0
-33.69715075,0.0
-33.64765075,0.0
-33.59815075,0.0
-33.54865075,0.0
-33.49925075,0.0
-33.44975075,0.0
-33.40025075,0.0
-33.35085075,0.0
-33.30135075,0.0
-33.25185075,0.0
-33.20235075,0.0
-33.15295075,0.0
-33.10345075,0.0
-33.05395075,0.0
-33.00455075,0.0
-32.95505075,0.0
-32.90555075,0.0
-32.85605075,0.0
-32.80665075,0.0
-32.75715075,0.0
-32.70765075,0.0
-32.658150750000004,0.0
-32.60875075,0.0
-32.559250750000004,0.0
-32.50975075,0.0
-32.46035075,0.0
-32.41085075,0.0
-32.36135075,0.0
-32.311850750000005,0.0
-32.26245075,0.0
