Energy (eV),DOS_up,DOS_down
-45.2018271,0.0,-0.0
-45.155227100000005,0.0,-0.0
-45.1087271,0.0,-0.0
-45.0622271,0.0,-0.0
-45.0156271,0.0,-0.0
-44.9691271,0.0,-0.0
-44.9225271,0.0,-0.0
-44.8760271,0.0,-0.0
-44.8295271,0.0,-0.0
-44.7829271,0.0,-0.0
-44.7364271,0.0,-0.0
-44.6898271,0.0,-0.0
-44.6433271,0.0,-0.0
-44.5968271,0.0,-0.0
-44.5502271,0.0,-0.0
-44.5037271,0.0,-0.0
-44.457227100000004,0.0,-0.0
-44.4106271,0.0,-0.0
-44.364127100000005,0.0,-0.0
-44.3175271,0.0,-0.0
-44.2710271,0.0,-0.0
-44.2245271,0.0,-0.0
-44.1779271,0.0,-0.0
-44.1314271,0.0,-0.0
-44.0848271,0.0,-0.0
-44.038327100000004,0.0,-0.0
-43.9918271,0.0,-0.0
-43.945227100000004,0.0,-0.0
-43.8987271,0.0,-0.0
-43.852127100000004,0.0,-0.0
-43.8056271,0.0,-0.0
-43.7591271,0.0,-0.0
-43.7125271,0.0,-0.0
-43.6660271,0.0,-0.0
-43.6194271,0.0,-0.0
-43.5729271,0.0,-0.0
-43.5264271,0.0,-0.0
-43.4798271,0.0,-0.0
-43.4333271,0.0,-0.0
-43.3867271,0.0,-0.0
-43.3402271,0.0,-0.0
-43.2937271,0.0,-0.0
-43.2471271,0.0,-0.0
-43.2006271,0.0,-0.0
-43.1540271,0.0,-0.0
-43.1075271,0.0,-0.0
-43.061027100000004,0.0,-0.0
-43.0144271,0.0,-0.0
-42.967927100000004,0.0,-0.0
-42.9213271,0.0,-0.0
-42.874827100000005,0.0,-0.0
-42.8283271,0.0,-0.0
-42.781727100000005,0.0,-0.0
-42.7352271,0.0,-0.0
-42.6886271,0.0,-0.0
-42.6421271,0.0,-0.0
-42.5956271,0.0,-0.0
-42.5490271,0.0,-0.0
-42.5025271,0.0,-0.0
-42.455927100000004,0.0,-0.0
-42.4094271,0.0,-0.0
-42.3629271,0.0,-0.0
-42.3163271,0.0,-0.0
-42.2698271,0.0,-0.0
-42.2232271,0.0,-0.0
-42.1767271,0.0,-0.0
-42.1302271,0.0,-0.0
-42.0836271,0.0,-0.0
-42.0371271,0.0,-0.0
-41.9905271,0.0,-0.0
-41.9440271,0.0,-0.0
-41.8975271,0.0,-0.0
-41.8509271,0.0,-0.0
-41.8044271,0.0,-0.0
-41.7578271,0.0,-0.0
-41.7113271,0.0,-0.0
-41.664827100000004,0.0,-0.0
-41.6182271,0.0,-0.0
-41.571727100000004,0.0,-0.0
-41.5251271,0.0,-0.0
-41.478627100000004,0.0,-0.0
-41.4321271,0.0,-0.0
-41.385527100000004,0.0,-0.0
-41.3390271,0.0,-0.0
-41.292427100000005,0.0,-0.0
-41.2459271,0.0,-0.0
-41.1994271,0.0,-0.0
-41.1528271,0.0,-0.0
-41.1063271,0.0,-0.0
-41.0597271,0.0,-0.0
-41.0132271,0.0,-0.0
-40.9667271,0.0,-0.0
-40.9201271,0.0,-0.0
-40.8736271,0.0,-0.0
-40.8270271,0.0,-0.0
-40.7805271,0.0,-0.0
-40.7340271,0.0,-0.0
-40.6874271,0.0,-0.0
-40.6409271,0.0,-0.0
-40.5943271,0.0,-0.0
-40.5478271,0.0,-0.0
-40.501327100000005,0.0,-0.0
-40.4547271,0.0,-0.0
-40.4082271,0.0,-0.0
-40.3616271,0.0,-0.0
-40.3151271,0.0,-0.0
-40.2686271,0.0,-0.0
-40.2220271,0.0,-0.0
-40.175527100000004,0.0,-0.0
-40.1289271,0.0,-0.0
-40.082427100000004,0.0,-0.0
-40.0359271,0.0,-0.0
-39.989327100000004,0.0,-0.0
-39.9428271,0.0,-0.0
-39.896227100000004,0.0,-0.0
-39.8497271,0.0,-0.0
-39.8032271,0.0,-0.0
-39.7566271,0.0,-0.0
-39.7101271,0.0,-0.0
-39.6635271,0.0,-0.0
-39.6170271,0.0,-0.0
-39.5705271,0.0,-0.0
-39.5239271,0.0,-0.0
-39.4774271,0.0,-0.0
-39.4308271,0.0,-0.0
-39.3843271,0.0,-0.0
-39.3378271,0.0,-0.0
-39.2912271,0.0,-0.0
-39.2447271,0.0,-0.0
-39.1981271,0.0,-0.0
-39.1516271,0.0,-0.0
-39.105127100000004,0.0,-0.0
-39.0585271,0.0,-0.0
-39.012027100000005,0.0,-0.0
-38.9655271,0.0,-0.0
-38.918927100000005,0.0,-0.0
-38.8724271,0.0,-0.0
-38.8258271,0.0,-0.0
-38.7793271,0.0,-0.0
-38.7328271,0.0,-0.0
-38.6862271,0.0,-0.0
-38.6397271,0.0,-0.0
-38.593127100000004,0.0,-0.0
-38.5466271,0.0,-0.0
-38.5001271,0.0,-0.0
-38.4535271,0.0,-0.0
-38.4070271,0.0,-0.0
-38.3604271,0.0,-0.0
-38.3139271,0.0,-0.0
-38.2674271,0.0,-0.0
-38.2208271,0.0,-0.0
-38.1743271,0.0,-0.0
-38.1277271,0.0,-0.0
-38.0812271,0.0,-0.0
-38.0347271,0.0,-0.0
-37.9881271,0.0,-0.0
-37.9416271,0.0,-0.0
-37.8950271,0.0,-0.0
-37.8485271,0.0,-0.0
-37.802027100000004,0.0,-0.0
-37.7554271,0.0,-0.0
-37.708927100000004,0.0,-0.0
-37.6623271,0.0,-0.0
-37.615827100000004,0.0,-0.0
-37.5693271,0.0,-0.0
-37.522727100000004,0.0,-0.0
-37.4762271,0.0,-0.0
-37.429627100000005,0.0,-0.0
-37.3831271,0.0,-0.0
-37.3366271,0.0,-0.0
-37.2900271,0.0,-0.0
-37.2435271,0.0,-0.0
-37.1969271,0.0,-0.0
-37.1504271,0.0,-0.0
-37.1039271,0.0,-0.0
-37.0573271,0.0,-0.0
-37.0108271,0.0,-0.0
-36.9642271,0.0,-0.0
-36.9177271,0.0,-0.0
-36.8712271,0.0,-0.0
-36.8246271,0.0,-0.0
-36.7781271,0.0,-0.0
-36.7315271,0.0,-0.0
-36.6850271,0.0,-0.0
-36.638527100000005,0.0,-0.0
-36.5919271,0.0,-0.0
-36.545427100000005,0.0,-0.0
-36.4988271,0.0,-0.0
-36.4523271,0.0,-0.0
-36.4058271,0.0,-0.0
-36.3592271,0.0,-0.0
-36.312727100000004,0.0,-0.0
-36.2661271,0.0,-0.0
-36.219627100000004,0.0,-0.0
-36.1731271,0.0,-0.0
-36.126527100000004,0.0,-0.0
-36.0800271,0.0,-0.0
-36.033427100000004,0.0,-0.0
-35.9869271,0.0,-0.0
-35.9404271,0.0,-0.0
-35.8938271,0.0,-0.0
-35.8473271,0.0,-0.0
-35.8007271,0.0,-0.0
-35.7542271,0.0,-0.0
-35.7077271,0.0,-0.0
-35.6611271,0.0,-0.0
-35.6146271,0.0,-0.0
-35.5680271,0.0,-0.0
-35.5215271,0.0,-0.0
-35.4750271,0.0,-0.0
-35.4284271,0.0,-0.0
-35.3819271,0.0,-0.0
-35.3353271,0.0,-0.0
-35.2888271,0.0,-0.0
-35.242327100000004,0.0,-0.0
-35.1957271,0.0,-0.0
-35.149227100000004,0.0,-0.0
-35.1026271,0.0,-0.0
-35.056127100000005,0.0,-0.0
-35.0096271,0.0,-0.0
-34.9630271,0.0,-0.0
-34.9165271,0.0,-0.0
-34.8699271,0.0,-0.0
-34.823427099999996,0.0,-0.0
-34.7769271,0.0,-0.0
-34.7303271,0.0,-0.0
-34.6838271,0.0,-0.0
-34.6372271,0.0,-0.0
-34.5907271,0.0,-0.0
-34.5442271,0.0,-0.0
-34.4976271,0.0,-0.0
-34.4511271,0.0,-0.0
-34.4045271,0.0,-0.0
-34.3580271,0.0,-0.0
-34.3115271,0.0,-0.0
-34.2649271,0.0,-0.0
-34.2184271,0.0,-0.0
-34.1718271,0.0,-0.0
-34.1253271,0.0,-0.0
-34.0788271,0.0,-0.0
-34.0322271,0.0,-0.0
-33.9857271,0.0,-0.0
-33.9391271,0.0,-0.0
-33.8926271,0.0,-0.0
-33.8461271,0.0,-0.0
-33.7995271,0.0,-0.0
-33.7530271,0.0,-0.0
-33.7064271,0.0,-0.0
-33.6599271,0.0,-0.0
-33.6134271,0.0,-0.0
-33.5668271,0.0,-0.0
-33.5203271,0.0,-0.0
